node_id,cluster,cluster_probability,outlier_score,is_noise,centroid_distance,baseline_iforest_score,is_anomaly,anomaly_rank
4:7881d57d-4dc3-40da-9c97-756961f2beba:5991,-1,0.0,0.8948393026313228,True,0.9999996469111263,0.37829871922964114,True,12
4:7881d57d-4dc3-40da-9c97-756961f2beba:5992,-1,0.0,0.8948393026313228,True,0.9999996469111263,0.37829871922964114,True,12
4:7881d57d-4dc3-40da-9c97-756961f2beba:5993,-1,0.0,0.8948393026313228,True,0.9999996469111263,0.37829871922964114,True,12
4:7881d57d-4dc3-40da-9c97-756961f2beba:5994,-1,0.0,0.8948393026313228,True,0.9999996469111263,0.37829871922964114,True,12
4:7881d57d-4dc3-40da-9c97-756961f2beba:5995,-1,0.0,0.8948393026313228,True,0.9999996469111263,0.37829871922964114,True,12
4:7881d57d-4dc3-40da-9c97-756961f2beba:5996,-1,0.0,0.8948393026313228,True,0.9999996469111263,0.37829871922964114,True,12
4:7881d57d-4dc3-40da-9c97-756961f2beba:5997,-1,0.0,0.8948393026313228,True,0.9999996469111263,0.37829871922964114,True,12
4:7881d57d-4dc3-40da-9c97-756961f2beba:5998,-1,0.0,0.8948393026313228,True,0.9999996469111263,0.37829871922964114,True,12
4:7881d57d-4dc3-40da-9c97-756961f2beba:5999,-1,0.0,0.8948393026313228,True,0.9999996469111263,0.37829871922964114,True,12
4:7881d57d-4dc3-40da-9c97-756961f2beba:6000,-1,0.0,0.8948393026313228,True,0.9999996469111263,0.37829871922964114,True,12
4:7881d57d-4dc3-40da-9c97-756961f2beba:6001,-1,0.0,0.8948393026313228,True,0.9999996469111263,0.37829871922964114,True,12
4:7881d57d-4dc3-40da-9c97-756961f2beba:6002,-1,0.0,0.8948393026313228,True,0.9999996469111263,0.37829871922964114,True,12
4:7881d57d-4dc3-40da-9c97-756961f2beba:6003,-1,0.0,0.8948393026313228,True,0.9999996469111263,0.37829871922964114,True,12
4:7881d57d-4dc3-40da-9c97-756961f2beba:6004,-1,0.0,0.8948393026313228,True,0.9999996469111263,0.37829871922964114,True,12
4:7881d57d-4dc3-40da-9c97-756961f2beba:6005,-1,0.0,0.8948393026313228,True,0.9999996469111263,0.37829871922964114,True,12
4:7881d57d-4dc3-40da-9c97-756961f2beba:6006,-1,0.0,0.8948393026313228,True,0.9999996469111263,0.37829871922964114,True,12
4:7881d57d-4dc3-40da-9c97-756961f2beba:6007,-1,0.0,0.8948393026313228,True,0.9999996469111263,0.37829871922964114,True,12
4:7881d57d-4dc3-40da-9c97-756961f2beba:39839,-1,0.0,0.7014444188925808,True,0.05106957729982054,0.4079812720491447,True,13
4:7881d57d-4dc3-40da-9c97-756961f2beba:6123,-1,0.0,0.69511079512562,True,0.999999548033487,0.3906328048610506,True,14
4:7881d57d-4dc3-40da-9c97-756961f2beba:6124,-1,0.0,0.69511079512562,True,0.999999548033487,0.3906328048610506,True,14
4:7881d57d-4dc3-40da-9c97-756961f2beba:6125,-1,0.0,0.69511079512562,True,0.999999548033487,0.3906328048610506,True,14
4:7881d57d-4dc3-40da-9c97-756961f2beba:6150,-1,0.0,0.693481466852871,True,0.9999998930050753,0.3918929058701036,True,15
4:7881d57d-4dc3-40da-9c97-756961f2beba:6151,-1,0.0,0.693481466852871,True,0.9999998930050753,0.3918929058701036,True,15
4:7881d57d-4dc3-40da-9c97-756961f2beba:6152,-1,0.0,0.693481466852871,True,0.9999998930050753,0.3918929058701036,True,15
4:7881d57d-4dc3-40da-9c97-756961f2beba:6153,-1,0.0,0.693481466852871,True,0.9999998930050753,0.3918929058701036,True,15
4:7881d57d-4dc3-40da-9c97-756961f2beba:6154,-1,0.0,0.693481466852871,True,0.9999998930050753,0.3918929058701036,True,15
4:7881d57d-4dc3-40da-9c97-756961f2beba:6371,-1,0.0,0.6877355626657322,True,0.9980591688257698,0.38218442764440547,True,16
4:7881d57d-4dc3-40da-9c97-756961f2beba:6372,-1,0.0,0.6877355626657322,True,0.9980591688257698,0.38218442764440547,True,16
4:7881d57d-4dc3-40da-9c97-756961f2beba:6373,-1,0.0,0.6877355626657322,True,0.9980591688257698,0.38218442764440547,True,16
4:7881d57d-4dc3-40da-9c97-756961f2beba:6374,-1,0.0,0.6877355626657322,True,0.9980591688257698,0.38218442764440547,True,16
4:7881d57d-4dc3-40da-9c97-756961f2beba:6375,-1,0.0,0.6877355626657322,True,0.9980591688257698,0.38218442764440547,True,16
4:7881d57d-4dc3-40da-9c97-756961f2beba:6712,-1,0.0,0.6873078263576872,True,0.9999994917635544,0.390361080500553,True,17
4:7881d57d-4dc3-40da-9c97-756961f2beba:6713,-1,0.0,0.6873078263576872,True,0.9999994917635544,0.390361080500553,True,17
4:7881d57d-4dc3-40da-9c97-756961f2beba:6164,-1,0.0,0.6857300932090494,True,0.9972430012900156,0.3808211082866036,True,18
4:7881d57d-4dc3-40da-9c97-756961f2beba:6165,-1,0.0,0.6857300932090494,True,0.9972430012900156,0.3808211082866036,True,18
4:7881d57d-4dc3-40da-9c97-756961f2beba:6166,-1,0.0,0.6857300932090494,True,0.9972430012900156,0.3808211082866036,True,18
4:7881d57d-4dc3-40da-9c97-756961f2beba:6167,-1,0.0,0.6857300932090494,True,0.9972430012900156,0.3808211082866036,True,18
4:7881d57d-4dc3-40da-9c97-756961f2beba:6168,-1,0.0,0.6857300932090494,True,0.9972430012900156,0.3808211082866036,True,18
4:7881d57d-4dc3-40da-9c97-756961f2beba:6332,-1,0.0,0.680812962682017,True,0.9976187184358895,0.3791985162709476,True,19
4:7881d57d-4dc3-40da-9c97-756961f2beba:6333,-1,0.0,0.680812962682017,True,0.9976187184358895,0.3791985162709476,True,19
4:7881d57d-4dc3-40da-9c97-756961f2beba:6334,-1,0.0,0.680812962682017,True,0.9976187184358895,0.3791985162709476,True,19
4:7881d57d-4dc3-40da-9c97-756961f2beba:6335,-1,0.0,0.680812962682017,True,0.9976187184358895,0.3791985162709476,True,19
4:7881d57d-4dc3-40da-9c97-756961f2beba:6336,-1,0.0,0.680812962682017,True,0.9976187184358895,0.3791985162709476,True,19
4:7881d57d-4dc3-40da-9c97-756961f2beba:6337,-1,0.0,0.680812962682017,True,0.9976187184358895,0.3791985162709476,True,19
4:7881d57d-4dc3-40da-9c97-756961f2beba:6338,-1,0.0,0.680812962682017,True,0.9976187184358895,0.3791985162709476,True,19
4:7881d57d-4dc3-40da-9c97-756961f2beba:6339,-1,0.0,0.680812962682017,True,0.9976187184358895,0.3791985162709476,True,19
4:7881d57d-4dc3-40da-9c97-756961f2beba:6340,-1,0.0,0.680812962682017,True,0.9976187184358895,0.3791985162709476,True,19
4:7881d57d-4dc3-40da-9c97-756961f2beba:6535,-1,0.0,0.670233750704135,True,0.9995052730943258,0.3777870854928621,True,20
4:7881d57d-4dc3-40da-9c97-756961f2beba:6536,-1,0.0,0.670233750704135,True,0.9995052730943258,0.3777870854928621,True,20
4:7881d57d-4dc3-40da-9c97-756961f2beba:6537,-1,0.0,0.670233750704135,True,0.9995052730943258,0.3777870854928621,True,20
4:7881d57d-4dc3-40da-9c97-756961f2beba:6538,-1,0.0,0.670233750704135,True,0.9995052730943258,0.3777870854928621,True,20
4:7881d57d-4dc3-40da-9c97-756961f2beba:6539,-1,0.0,0.670233750704135,True,0.9995052730943258,0.3777870854928621,True,20
4:7881d57d-4dc3-40da-9c97-756961f2beba:6540,-1,0.0,0.670233750704135,True,0.9995052730943258,0.3777870854928621,True,20
4:7881d57d-4dc3-40da-9c97-756961f2beba:6541,-1,0.0,0.670233750704135,True,0.9995052730943258,0.3777870854928621,True,20
4:7881d57d-4dc3-40da-9c97-756961f2beba:6542,-1,0.0,0.670233750704135,True,0.9995052730943258,0.3777870854928621,True,20
4:7881d57d-4dc3-40da-9c97-756961f2beba:6543,-1,0.0,0.670233750704135,True,0.9995052730943258,0.3777870854928621,True,20
4:7881d57d-4dc3-40da-9c97-756961f2beba:6544,-1,0.0,0.670233750704135,True,0.9995052730943258,0.3777870854928621,True,20
4:7881d57d-4dc3-40da-9c97-756961f2beba:6160,-1,0.0,0.666674383197677,True,0.9993446995215448,0.38092495400201676,True,21
4:7881d57d-4dc3-40da-9c97-756961f2beba:6161,-1,0.0,0.666674383197677,True,0.9993446995215448,0.38092495400201676,True,21
4:7881d57d-4dc3-40da-9c97-756961f2beba:6243,-1,0.0,0.6660079603067268,True,0.9999995212575963,0.39509764136641573,True,22
4:7881d57d-4dc3-40da-9c97-756961f2beba:6244,-1,0.0,0.6660079603067268,True,0.9999995212575963,0.39509764136641573,True,22
4:7881d57d-4dc3-40da-9c97-756961f2beba:6245,-1,0.0,0.6660079603067268,True,0.9999995212575963,0.39509764136641573,True,22
4:7881d57d-4dc3-40da-9c97-756961f2beba:6246,-1,0.0,0.6660079603067268,True,0.9999995212575963,0.39509764136641573,True,22
